surface,route,domain,owner_module,priority,canonical_source_sets,project_coverage_claim,project_coverage_named_mockups,matched_claude_candidates,matched_html_file_count,current_figma_status,figma_page,figma_node_ids,current_react_status,react_entry,canonicalization_status,discrepancy_flags,proposed_delivery_wave,next_action
public,/experts/[expertId],Expert profile,Expert,P1,set21/40,DONE,ExpertDetail,ExpertDetail,1,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
public,/safety,Safety,TrustSafety,P0,Sprint0/set52,PARTIAL,SafetyPrivacy,SafetyPrivacy,2,UNDECIDED,,,PLACEHOLDER,src/app/(public)/safety/page.tsx,REFERENCE_CANDIDATE_PRESENT,PARTIAL_OR_SHARED_PATTERN_ONLY,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
public,/privacy,Privacy,Privacy,P0,Sprint0/set30/60,PARTIAL,SafetyPrivacy,CookieSettings | SafetyPrivacy,4,UNDECIDED,,,PLACEHOLDER,src/app/(public)/privacy/page.tsx,REFERENCE_CANDIDATE_PRESENT,PARTIAL_OR_SHARED_PATTERN_ONLY,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
public,/terms,Terms,Terms,P0,set30,DONE,TermsConditions,TermsConditions,2,UNDECIDED,,,PLACEHOLDER,src/app/(public)/terms/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
public,/community-guidelines,Guidelines,Guidelines,P0,set30/35/38,DONE,CommunityGuidelines,CommunityGuidelines,2,UNDECIDED,,,PLACEHOLDER,src/app/(public)/community-guidelines/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
public,/family-guides/[stage],Age-stage guides,Age-stage,P1,Sprint0/set42,MISSING,—,FamilyGuideDetail,1,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,PROJECT_COVERAGE_STALE_CANDIDATE_NOW_PRESENT,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
public,/seasonal-guides/[slug],Seasonal guides,Seasonal,P1,Sprint0/set42,MISSING,—,SeasonalGuideDetail,1,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,PROJECT_COVERAGE_STALE_CANDIDATE_NOW_PRESENT,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
public,/cities/[citySlug],City landing,City,P1,set41/59,MISSING,—,,0,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,DESIGN_GAP,,LATER,DESIGN_RESPONSIVE_STATES_IN_FIGMA
public,/cities/[citySlug]/activities,City activities SEO,City,P1,set41/59,MISSING,—,,0,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,DESIGN_GAP,,LATER,DESIGN_RESPONSIVE_STATES_IN_FIGMA
public,/cities/[citySlug]/events,City events SEO,City,P1,set41/59,MISSING,—,,0,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,DESIGN_GAP,,LATER,DESIGN_RESPONSIVE_STATES_IN_FIGMA
public,/cities/[citySlug]/marketplace,City marketplace SEO,City,P1,set41/59,MISSING,—,,0,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,DESIGN_GAP,,LATER,DESIGN_RESPONSIVE_STATES_IN_FIGMA
public,/cities/[citySlug]/services,City services SEO,City,P1,set41/59,MISSING,—,,0,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,DESIGN_GAP,,LATER,DESIGN_RESPONSIVE_STATES_IN_FIGMA
auth,/signup,Sign up,Sign,P0,set35 + Sprint0,DONE,SignUp,SignUp,2,UNDECIDED,,,PLACEHOLDER,src/app/(auth)/signup/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
auth,/login,Login,Login,P0,set35 + Sprint0,DONE,Login,Login,2,UNDECIDED,,,PLACEHOLDER,src/app/(auth)/login/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
auth,/forgot-password,Password recovery,Password,P0,set35 + Sprint0,DONE,ForgotPassword,ForgotPassword,2,UNDECIDED,,,PLACEHOLDER,src/app/(auth)/forgot-password/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
auth,/verify,Identity verification,Identity,P0,set35 + Sprint0,DONE,VerifyIdentity,VerifyIdentity,2,UNDECIDED,,,PLACEHOLDER,src/app/(auth)/verify/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
auth,/onboarding,Onboarding entry,Onboarding,P0,set35 + Sprint0,DONE,Onboarding,ChooseAccountType | Onboarding,4,UNDECIDED,,,PLACEHOLDER,src/app/(auth)/onboarding/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
auth,/onboarding/family,Family profile,Family,P0,set35 + Sprint0,PARTIAL,Onboarding,Onboarding,2,UNDECIDED,,,PLACEHOLDER,src/app/(auth)/onboarding/family/page.tsx,REFERENCE_CANDIDATE_PRESENT,PARTIAL_OR_SHARED_PATTERN_ONLY,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
auth,/onboarding/children,Children,Children,P0,set35 + Sprint0,PARTIAL,Onboarding,Onboarding,2,UNDECIDED,,,PLACEHOLDER,src/app/(auth)/onboarding/children/page.tsx,REFERENCE_CANDIDATE_PRESENT,PARTIAL_OR_SHARED_PATTERN_ONLY,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
auth,/onboarding/interests,Interests,Interests,P0,set35 + Sprint0,PARTIAL,Onboarding,Onboarding,2,UNDECIDED,,,PLACEHOLDER,src/app/(auth)/onboarding/interests/page.tsx,REFERENCE_CANDIDATE_PRESENT,PARTIAL_OR_SHARED_PATTERN_ONLY,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
auth,/onboarding/location,Location/privacy,Location,P0,set35 + Sprint0,PARTIAL,Onboarding,Onboarding,2,UNDECIDED,,,PLACEHOLDER,src/app/(auth)/onboarding/location/page.tsx,REFERENCE_CANDIDATE_PRESENT,PARTIAL_OR_SHARED_PATTERN_ONLY,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
auth,/onboarding/consent,Consent,Consent,P0,set35 + Sprint0,PARTIAL,Onboarding,Onboarding,2,UNDECIDED,,,PLACEHOLDER,src/app/(auth)/onboarding/consent/page.tsx,REFERENCE_CANDIDATE_PRESENT,PARTIAL_OR_SHARED_PATTERN_ONLY,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app,Home shell,Home,P0,set39,DONE,ParentDashboard,ParentDashboard,2,UNDECIDED,,,PLACEHOLDER,src/app/(app)/app/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/search,Global search,Search,P0,Sprint0/set39,DONE,SearchResults,SearchResults,2,UNDECIDED,,,PLACEHOLDER,src/app/(app)/app/search/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/saved,Saved hub,Saved,P0,Sprint0/set39,DONE,SavedItems,SavedItems | SavedPosts,4,UNDECIDED,,,PLACEHOLDER,src/app/(app)/app/saved/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/notifications,Notifications,Notifications,P0,set39/44,DONE,Notifications,Notifications,2,UNDECIDED,,,PLACEHOLDER,src/app/(app)/app/notifications/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,OSLO_WAVE_2_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/messages,Messaging inbox,Messaging,P0,set44,DONE,Messages,Messages,2,UNDECIDED,,,PLACEHOLDER,src/app/(app)/app/messages/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,OSLO_WAVE_2_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/messages/[conversationId],Conversation,Conversation,P0,set44,DONE,Messages,Messages,2,UNDECIDED,,,PLACEHOLDER,src/app/(app)/app/messages/[conversationId]/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,OSLO_WAVE_2_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/account,Account,Account,P0,Sprint0/set46,DONE,UserProfile,UserProfile,2,UNDECIDED,,,PLACEHOLDER,src/app/(app)/app/account/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/settings,Settings,Settings,P0,set60,DONE,Settings,Settings,2,UNDECIDED,,,PLACEHOLDER,src/app/(app)/app/settings/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/family,Family profile,Family,P0,set46,PARTIAL,FamilyMatching,FamilyMatching,2,UNDECIDED,,,PLACEHOLDER,src/app/(app)/app/family/page.tsx,REFERENCE_CANDIDATE_PRESENT,PARTIAL_OR_SHARED_PATTERN_ONLY,OSLO_WAVE_2_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/family/members,Family members,Family,P0,set7/46,DONE,FamilyMembers,FamilyMembers,2,UNDECIDED,,,PLACEHOLDER,src/app/(app)/app/family/members/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,OSLO_WAVE_2_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/connections,Connections,Connections,P0,set46,DONE,FamilyMatching / FamilyMatchDetail,FamilyMatchDetail | FamilyMatching,4,UNDECIDED,,,PLACEHOLDER,src/app/(app)/app/connections/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,OSLO_WAVE_2_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/matching,Family matching,Family,P1,set2/55,DONE,FamilyMatching,FamilyMatchDetail | FamilyMatching,4,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/community,Community home,Community,P0,set38/45,DONE,Community,Albums | Community | CreatePost | Feed | PostDetails | PostSettings | SavedPosts,14,UNDECIDED,,,PLACEHOLDER,src/app/(app)/app/community/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,OSLO_WAVE_2_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/groups,Groups directory,Groups,P1,set53,DONE,MyGroupsList,CreateGroupBasicInfo | CreateGroupCoverDetails | CreateGroupInviteMembers | CreateGroupReview | CreateGroupSettings | GroupCreatedSuccess | MyGroupsList,14,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/groups/[groupId],Group detail,Group,P1,set53,DONE,GroupFeed,GroupFeed | GroupMembers | GroupSettings,6,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/calendar,Family calendar,Family,P1,set6/10,MISSING,—,Calendar,1,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,PROJECT_COVERAGE_STALE_CANDIDATE_NOW_PRESENT,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/marketplace,Marketplace,Listings/Catalog,P0,Sprint0/set36,DONE,MyListings,MyListings,2,UNDECIDED,,,PLACEHOLDER,src/app/(app)/app/marketplace/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/marketplace/listings,My listings,My,P1,set13,DONE,MyListings,CreateListing | CreateListingStep2 | EditListing | ListingPublished | ListingReview | MyListings,12,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/orders,Orders,Orders,P1,set43/49,PARTIAL,OrderTracking,CancelOrder | Cart | DeliveryTracking | DisputeReport | OrderConfirmation | OrderTracking | PickupScheduling | ReturnRefundRequest | Returns | ShippingDelivery,20,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,PARTIAL_OR_SHARED_PATTERN_ONLY,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/events,Events,Experiences,P0,Sprint0/set37,DONE,MyEventsList,MyEventsList | MyTicketQR | TicketConfirmation,6,UNDECIDED,,,PLACEHOLDER,src/app/(app)/app/events/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,OSLO_WAVE_2_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/activities,Activities,Experiences,P0,set18/37,DONE,MyActivitiesList,MyActivitiesList,2,UNDECIDED,,,PLACEHOLDER,src/app/(app)/app/activities/page.tsx,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/services,Services,Services,P1,set40/47,DONE,ServiceListings,ServiceListings,2,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/bookings,Bookings,Bookings,P1,set40/47,DONE,MyBookings,BookAppointment | BookingCancellation | BookingConfirmation | BookingDetails | BookingReschedule | MyBookings,12,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/wallet,Wallet,Payments,P1,set8,MISSING,—,Wallet,1,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,PROJECT_COVERAGE_STALE_CANDIDATE_NOW_PRESENT,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/privacy,Privacy center,Privacy,P0,Sprint0/set60,PARTIAL,SafetyPrivacy,CookieSettings | SafetyPrivacy,4,UNDECIDED,,,PLACEHOLDER,src/app/(app)/app/privacy/page.tsx,REFERENCE_CANDIDATE_PRESENT,PARTIAL_OR_SHARED_PATTERN_ONLY,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/safety,Safety center,Safety,P0,Sprint0/set52,PARTIAL,SafetyPrivacy,SafetyPrivacy,2,UNDECIDED,,,PLACEHOLDER,src/app/(app)/app/safety/page.tsx,REFERENCE_CANDIDATE_PRESENT,PARTIAL_OR_SHARED_PATTERN_ONLY,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app,/app/support,Support,Support,P1,set8,PARTIAL,HelpCenter / ContactUs,ContactUs | HelpCenter,4,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,PARTIAL_OR_SHARED_PATTERN_ONLY,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app-role,/app/seller,Seller dashboard,Seller,P1,set13,DONE,MyListings / BuyerInquiries / SellerReservationDetail,MyListings | SellerRatings,4,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app-role,/app/seller/listings,Seller listings,Seller,P1,set13,DONE,MyListings / BuyerInquiries / SellerReservationDetail,CreateListing | CreateListingStep2 | EditListing | ListingPublished | ListingReview | MarkAsSold | MyListings | PromoteListing | RenewListing,18,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app-role,/app/seller/inquiries,Buyer inquiries,Buyer,P1,set13,DONE,MyListings / BuyerInquiries / SellerReservationDetail,BuyerInquiries,2,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app-role,/app/seller/orders,Seller reservations/orders,Seller,P1,set12/13,DONE,MyListings / BuyerInquiries / SellerReservationDetail,PickupScheduling | SellerPickupConfirmation | SellerReservationDetail,6,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app-role,/app/seller/payouts,Seller payouts,Seller,P2,set6/8,MISSING,—,,0,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,DESIGN_GAP,,LATER,DESIGN_RESPONSIVE_STATES_IN_FIGMA
app-role,/app/organizer,Organizer dashboard,Organizer,P1,set3/57,DONE,EventRegistrations / ActivityRegistrations,ActivityRegistrations | EventRegistrations,4,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app-role,/app/organizer/events,Organizer events,Organizer,P1,set17,DONE,EventRegistrations / ActivityRegistrations,CreateEventBasicInfo | CreateEventDescription | CreateEventLocation | CreateEventOrganizerContact | CreateEventReview | CreateEventTickets | EventPublished | MyEventsList,16,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app-role,/app/organizer/activities,Organizer activities,Organizer,P1,set18,DONE,EventRegistrations / ActivityRegistrations,ActivityPublished | CreateActivityBasicInfo | CreateActivityDetails | CreateActivityLocation | CreateActivityMedia | CreateActivityReview | MyActivitiesList,14,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app-role,/app/organizer/registrations,Registrations,Registrations,P1,set16/17,DONE,AttendeeDetail / OrganizerCheckInList / QRCheckInScanner,ActivityRegistrations | AttendeeDetail | EventRegistrations,6,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app-role,/app/organizer/check-in,Check-in,Check-in,P1,set16/57,DONE,AttendeeDetail / OrganizerCheckInList / QRCheckInScanner,ActivityCheckIn | AttendeeDetail | MyTicketQR | OrganizerCheckInList | QRCheckInScanner,10,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,OSLO_WAVE_1_CANDIDATE,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app-role,/app/organizer/analytics,Analytics,Analytics,P2,set3/17/18,DONE,EventAnalytics / ActivityAnalytics,ActivityAnalytics | EventAnalytics,4,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,REFERENCE_CANDIDATE_PRESENT,MOCKUP_CLAIM_NOT_PRODUCTION_APPROVAL,LATER,RECONCILE_IN_FIGMA_AND_RECORD_NODE_IDS
app-role,/app/expert,Expert dashboard,Expert,P1,set21/57,MISSING,—,,0,NOT_IN_SCREEN_REGISTRY,,,NOT_IN_SCREEN_REGISTRY,,DESIGN_GAP,,LATER,DESIGN_RESPONSIVE_STATES_IN_FIGMA
